,total_mp,total_won,total_drawn,total_lost,total_gf,total_ga,home_mp,home_won,home_drawn,home_lost,home_gf,home_ga,away_mp,away_won,away_drawn,away_lost,away_gf,away_ga,total_gd,total_points
Bayern Munich,34,26,4,4,100,32,17,13,2,2,53,15,17,13,2,2,47,17,+68,82
Borussia Do…,34,21,6,7,84,41,17,11,3,3,46,17,17,10,3,4,38,24,+43,69
RB Leipzig,34,18,12,4,81,37,17,7,8,2,38,21,17,11,4,2,43,16,+44,66
Borussia M'…,34,20,5,9,66,40,17,12,2,3,40,21,17,8,3,6,26,19,+26,65
Bayer Lever…,34,19,6,9,61,44,17,9,4,4,32,22,17,10,2,5,29,22,+17,63
Hoffenheim,34,15,7,12,53,53,17,7,1,9,26,37,17,8,6,3,27,16,+0,52
Wolfsburg,34,13,10,11,48,46,17,4,7,6,19,23,17,9,3,5,29,23,+2,49
Freiburg,34,13,9,12,48,47,17,9,2,6,23,17,17,4,7,6,25,30,+1,48
Eintracht F…,34,13,6,15,59,60,17,8,4,5,36,27,17,5,2,10,23,33,-1,45
Hertha Berlin,34,11,8,15,48,59,17,6,3,8,23,32,17,5,5,7,25,27,-11,41
Union Berlin,34,12,5,17,41,58,17,8,3,6,24,20,17,4,2,11,17,38,-17,41
Schalke 04,34,9,12,13,38,58,17,5,7,5,20,27,17,4,5,8,18,31,-20,39
Mainz,34,11,4,19,44,65,17,5,2,10,18,29,17,6,2,9,26,36,-21,37
FC Cologne,34,10,6,18,51,69,17,6,4,7,28,27,17,4,2,11,23,42,-18,36
Augsburg,34,9,9,16,45,63,17,5,5,7,28,29,17,4,4,9,17,34,-18,36
Werder Bremen,34,8,7,19,42,69,17,2,3,12,15,36,17,6,4,7,27,33,-27,31
Fortuna D\u00fcs…,34,6,12,16,36,67,17,4,6,7,18,28,17,2,6,9,18,39,-31,30
Paderborn,34,4,8,22,37,74,17,2,2,13,21,46,17,2,6,9,16,28,-37,20
